class,mpq,r2,TP,FP,FN,TN,F1_d,F1,balanced_acc,mcc,seg_hausdorff_(TP),seg_dice_(TP),seg_mcc_(TP),spearman,pearson,log_pearson,model
neutrophil,0.19619710644590657,0.19715161247902957,52.0,123.0,120.0,85440.0,0.1413734999178037,0.29971181556195964,0.6504440220710483,0.2983030845458178,1.965625494936488,0.8413846679504231,0.6173136099521119,0.3253088958141623,0.7877198213325582,0.8836278259725376,conic_l2
epithelial-cell,0.6146829246678865,0.940920109580849,50685.0,10194.0,11706.0,33142.0,0.7000841618266115,0.8223412022389875,0.7885725535313279,0.5743347678161396,2.7219803452299405,0.8433810021756568,0.6433511506041512,0.9586853808390551,0.9710361469007815,0.965524510392767,conic_l2
lymphocyte,0.6359770845914008,0.9495914425427284,13555.0,3644.0,4985.0,67929.0,0.5260090206375592,0.7585550798847198,0.8401044223962104,0.6997045371729049,1.1453876623524046,0.913659997305543,0.7370597088140285,0.9497381521992386,0.9751350432396224,0.924404725222842,conic_l2
plasma-cell,0.4229122053252947,0.6061143249776901,1876.0,1158.0,2524.0,81024.0,0.24938627526378204,0.504708097928437,0.7061364797865491,0.4924064408291359,1.103460729581816,0.9187775053086736,0.7481450933592718,0.8608580782305476,0.8082720700315541,0.7584593087610964,conic_l2
eosinophil,0.3418127118567127,0.5550609068661148,239.0,124.0,325.0,85134.0,0.29574849019293464,0.5156418554476807,0.7111522281389039,0.5257757732302958,2.175702400212957,0.8302040847393114,0.5910655863437284,0.6658114334705877,0.7753553394833871,0.5764666964713557,conic_l2
connective-tissue-cell,0.5131211901099068,0.7663379460622416,13313.0,3917.0,7430.0,69491.0,0.5140265901540378,0.7011824190872462,0.7942237838603845,0.6307396781858186,1.9756346648321141,0.8614393127350011,0.693837423503145,0.9048889044985745,0.9094244597290366,0.8934580295907155,conic_l2
all,0.5464193876624815,0.0,85610.0,13270.0,21200.0,0.0,0.7095937583313462,0.8324177159803587,-999.0,-999.0,2.2481046352931733,0.8604272206749591,0.43981866678264786,0.9542231672300193,0.966297974617654,0.9712242743070332,conic_l2
neutrophil,0.2055466708162581,0.42514464387817535,44.0,66.8,126.0,86996.0,,0.31343631185666243,0.629028132061374,0.31964953361486004,2.2496021832309383,0.8301693111237892,0.604698142286031,0.34060198606424585,0.7542293238616773,0.6622288032632258,convnextv2_large_focal_fulldata_0
epithelial-cell,0.6055769887173286,0.9441834108601354,50963.4,10002.4,11436.0,34381.4,,0.8262199931932056,0.7956843527836004,0.5888469161321461,2.8432753682878658,0.8384193649012944,0.6358359941157674,0.9547720441301767,0.9716005245685357,0.9713928322803381,convnextv2_large_focal_fulldata_0
lymphocyte,0.6438508825322883,0.9606458221032985,14412.8,4740.4,4067.2,67929.8,,0.7659619968035669,0.8573409252646448,0.7052840897654495,1.1645181658639754,0.9179861172958372,0.7488018183353473,0.9702453722361468,0.9804949008413224,0.9555539033193808,convnextv2_large_focal_fulldata_0
plasma-cell,0.3857259011988452,0.5524384651615157,1770.2,1346.2,2629.8,82289.6,,0.471022611592845,0.6931110722432405,0.45543860595353214,1.1964165171635652,0.9096281408744389,0.7297662404817917,0.8361786305899568,0.7876212264538484,0.7476267626569011,convnextv2_large_focal_fulldata_0
eosinophil,0.36903203678002605,0.523017570874694,323.8,282.2,241.2,86511.6,,0.5530307881616854,0.7849229722643418,0.5503615657726307,2.148886356750906,0.8238663136471318,0.5844138527246385,0.6484970553830071,0.7686128123193675,0.6466791741965412,convnextv2_large_focal_fulldata_0
connective-tissue-cell,0.5161898698892264,0.7319398547579078,13066.2,3131.0,7671.8,71314.6,,0.7075202021552249,0.7940016465179989,0.6459319950923166,2.002615292187667,0.8600234681082185,0.6911452548218928,0.9045820884896127,0.916342220360559,0.9003374617728463,convnextv2_large_focal_fulldata_0
mitosis,0.2907177542611681,0.0,52.0,102.6,55.0,86993.4,,0.3974960713582935,0.7424016494632124,0.40339482893795237,1.5447672583420322,0.8673908468541296,0.6787101037413551,0.43781847897964443,0.48907693129920593,0.4969670775533485,convnextv2_large_focal_fulldata_0
all,0.5462168472625,0.0,87156.8,13147.2,19702.6,0.0,,0.8414304734708244,-999.0,-999.0,2.3175394023977964,0.8584230474450433,0.4428103697488874,0.9645144702873122,0.9709433439037125,0.9677142029116339,convnextv2_large_focal_fulldata_0
neutrophil,0.14967420129643128,0.3038860921962279,39.6,93.8,130.4,87759.6,0.09685808769888807,0.26093252959237745,0.6159367456767155,0.26161466827156127,2.532824194612168,0.8107669925926209,0.5684044009243326,0.30923659036583756,0.7247547541627768,0.5677236730728058,convnextv2_base_focal_fulldata_0
