class,mpq,r2,TP,FP,FN,TN,F1,balanced_acc,mcc,seg_hausdorff_(TP),seg_dice_(TP),seg_mcc_(TP),spearman,pearson,log_pearson,model,F1_d
neutrophil,0.010644591830688561,0.04949722981563246,1.8973665961010275,3.867815921162743,1.8973665961010275,55.87128063683524,0.014177123168206069,0.005591424170459934,0.014906336270965702,0.16581545429981237,0.010273730340873366,0.008366919241709986,0.019499029982421874,0.00991808499301255,0.08108918234404998,convnextv2_large_focal_fulldata_0,
epithelial-cell,0.00034668685714648727,0.0006687384741151931,58.15015047272019,53.63058828690956,57.113921245174545,25.37400244344593,0.0008951914671469551,0.00089696000841336,0.0017806772361864684,0.003872170885423172,0.00022569080959351158,0.00046971573216440685,0.0003030822980869285,0.00020638495862837297,0.001806184001831565,convnextv2_large_focal_fulldata_0,
lymphocyte,0.0007784871954798363,0.00038152849646583785,12.592060990957755,17.2,13.347658970770867,55.50279272252884,0.0006073607972258866,0.00040030736054299555,0.0007588635603871003,0.0008864388417580894,0.00022062256456161424,0.0005141804756353664,0.0005224954850387845,0.00017689794831667751,0.001133847427144596,convnextv2_large_focal_fulldata_0,
plasma-cell,0.001971131948251976,0.005430179272434826,8.657944328765346,10.087616170334794,8.657944328765346,61.53568070639993,0.0020216447589733455,0.0009999678904435922,0.0021019867578436977,0.0042129435548741365,0.0008725723671497755,0.0017503252940857124,0.0022523291129175993,0.003357869872155569,0.00776990084447575,convnextv2_large_focal_fulldata_0,
eosinophil,0.0029794976775534285,0.021096214517127315,2.9933259094191524,3.1874754901018454,2.9933259094191524,55.56113749735512,0.004910317710324841,0.002663056500904918,0.004950932392802623,0.032888278159927245,0.002506441140383021,0.0035959695712616544,0.006988090206648229,0.00874349859984582,0.015877935437538872,convnextv2_large_focal_fulldata_0,
connective-tissue-cell,0.0007855435418519657,0.002549252588465239,15.68948692596415,20.83266665599966,15.104966070799364,58.119187881456156,0.0006990139209972003,0.0004023107864077638,0.0008687214271637395,0.003214905150728449,0.0004400457793876698,0.00077743914822563,0.0013543767169803228,0.0012095286997343005,0.002689695279035023,convnextv2_large_focal_fulldata_0,
mitosis,0.0031034834699709924,0.0,1.4142135623730951,1.7435595774162693,1.4142135623730951,54.10582223753744,0.007222456296246474,0.006602222605715817,0.007860367620048629,0.02208758900859105,0.002675244556803238,0.0026395814200742946,0.015721848500888102,0.009829614792634769,0.04080123144686035,convnextv2_large_focal_fulldata_0,
all,0.0005693402095331176,0.0,55.115877930048434,52.25093300602393,56.00928494455183,0.0,0.0004756881911660318,-999.0,-999.0,0.0030633256060076702,0.0002769931591402633,0.0065908983196220055,0.0004119205121004026,0.0002172307094403773,0.001824717037940107,convnextv2_large_focal_fulldata_0,
neutrophil,0.011248224766804725,0.03205290715644373,2.576819745345025,2.9257477676655586,2.576819745345025,56.30133213344068,0.01485431327225378,0.007578080950863486,0.0147349730080087,0.08755635796150435,0.0033583739301636544,0.005853343032341817,0.01351215537277758,0.012407655267078174,0.015600874466734782,convnextv2_base_focal_fulldata_0,0.00796337678118828
epithelial-cell,0.00040520237587695555,0.0008886048816529943,35.91879730725961,64.35339928861568,34.909024621149186,33.490297102295166,0.0007442685000320295,0.0008773939791757257,0.0017021152249771737,0.00471826559075492,0.0002893054465141317,0.0004308797817534201,0.00095686462313374,0.0004168865219101158,0.000995772414488208,convnextv2_base_focal_fulldata_0,0.0013684415364047552
lymphocyte,0.0004884329989715108,0.0007531068022628742,10.518555033843766,25.49039034616771,10.781465577554844,52.32360843825663,0.0006423238115065503,0.0003653191203830695,0.0008266125583625227,0.0037516238282200996,0.000359406447116386,0.0010721463967602247,0.0008878034621633493,0.0003860237381084777,0.0016478585082566287,convnextv2_base_focal_fulldata_0,0.002049378857306241
plasma-cell,0.0017194745806023044,0.0065238711257798185,7.255342858886822,19.334942461771124,7.255342858886822,63.63458179323567,0.002038424289504467,0.0008456564672982396,0.002331979782352074,0.008605464896298754,0.0004680557164930557,0.0009512045817429894,0.002971274979503394,0.0032341792218045754,0.006252069955656983,convnextv2_base_focal_fulldata_0,0.0014957819322666834
eosinophil,0.0008621628872828976,0.011112349383964826,2.1354156504062622,4.715930449020639,2.0,56.42907052220513,0.004060940751603078,0.0018252845012918365,0.004152622332826687,0.013353871287257282,0.0012917628561968408,0.0014827967418343936,0.00628530520786822,0.00587819427163144,0.008018810569783532,convnextv2_base_focal_fulldata_0,0.0027314413633385353
connective-tissue-cell,0.000611399147181194,0.0032246196347719015,26.8968399630886,10.059821071967434,26.725268941584105,42.988370520409354,0.0009282452873554028,0.0006495603194899917,0.0010223626579261953,0.005761673381140702,0.0004360945193375506,0.0008263230806710559,0.001116531884717004,0.0007522415942618898,0.0024712194750436452,convnextv2_base_focal_fulldata_0,0.0016510538239888416
mitosis,0.010050821655235864,0.035001068119146474,2.481934729198171,5.03587132480567,2.481934729198171,54.486695623794255,0.013184488815902074,0.011582758894440721,0.013835836926907775,0.050208931979462135,0.0013670557617529004,0.002639410405496166,0.014018543932780939,0.02112542681096283,0.043764114376697784,convnextv2_base_focal_fulldata_0,0.00708018851655971
all,0.0007741398222219776,0.0,56.64980141183197,66.74608602757168,55.17390687634872,0.0,0.000546694902354685,-999.0,-999.0,0.0032656158189153573,0.00026960988504574516,0.005522741642902945,0.0006652963895932045,0.00026666340411566757,0.002981503461106177,convnextv2_base_focal_fulldata_0,0.0011455667374168934
neutrophil,0.009962679616420004,0.017731341588854813,2.9257477676655586,6.11228271597445,2.9257477676655586,49.7135796337379,0.012085265179422253,0.008585765599433534,0.012486401320801213,0.21400100785416226,0.009375174069708161,0.012108947818067813,0.010924265015506035,0.01264967499339331,0.028296975082672367,convnextv2_tiny_focal_fulldata_0,0.004460867659183291
epithelial-cell,0.00029304254713576896,0.0008429568670276867,19.8292712927127,38.92865268667797,20.616498247762642,22.817537115122658,0.00040176577301554665,0.0004993307638093142,0.0009612719824684534,0.0027382608204085685,0.00019149490435810731,0.00023787630204777068,0.0005003502944330909,0.00035479882410220637,0.0010672468033631787,convnextv2_tiny_focal_fulldata_0,0.0002960601507176611
lymphocyte,0.0006230689282259896,0.0005931099800065535,6.794115100585213,24.36719105682885,6.928203230275509,35.443476127490655,0.0005108696774533145,0.00024033397668984436,0.000668309991518537,0.0017004811103335522,0.0003617856162221069,0.0011584008517023427,0.000514707468099731,0.0003115697404033599,0.0013172112723303189,convnextv2_tiny_focal_fulldata_0,0.002286295305964186
plasma-cell,0.0009104549153304653,0.007488086165259856,4.664761515876241,10.107423014794621,4.857983120596447,49.11781754109195,0.0009508246191982398,0.0005160145116452616,0.001015708889214834,0.011368641943157677,0.0007654700610701761,0.0016839688994041053,0.0024430315025964384,0.0030548311952056516,0.014266803096261781,convnextv2_tiny_focal_fulldata_0,0.0018907984295775486
eosinophil,0.004754978132306646,0.017232916999155575,3.6551333764994123,7.08801805866774,3.6551333764994123,46.57638886818084,0.0048218353284234,0.0032253040056551842,0.004860704982307651,0.028007187071309565,0.0014041654157452032,0.0020176601027728073,0.007966230680328276,0.0029527285078282607,0.010312140820417951,convnextv2_tiny_focal_fulldata_0,0.006079139016241579
connective-tissue-cell,0.0009112238312708067,0.0016229117123002198,17.04816705690087,8.034923770640267,17.577258034175866,27.22204988607581,0.0006530393854738566,0.00043178361147833263,0.0007282000280767434,0.004515835770186836,0.00019921606202962305,0.000299738124030803,0.000992415976770691,0.0005578130476691564,0.003373938857435053,convnextv2_tiny_focal_fulldata_0,0.001120978125702978
mitosis,0.005007647809388224,0.02250510331047533,1.7204650534085253,1.0198039027185568,1.7204650534085253,47.25082009870305,0.011597631448698775,0.008036546127324934,0.011618983528363715,0.06252797536462004,0.0069196416005734285,0.008680019983629819,0.004407524632498128,0.008612222158044565,0.06201443820458307,convnextv2_tiny_focal_fulldata_0,0.005484613403252437
all,0.0005582454623607498,0.0,47.190677045365646,50.25296011181829,47.788701593577535,0.0,0.0004529935058705631,-999.0,-999.0,0.0018718913750434911,0.00019947725366156358,0.005874606930502749,0.0007892533858477477,0.00030867173122972374,0.0026809260129464977,convnextv2_tiny_focal_fulldata_0,0.0006990209565005673
