class,mpq,r2,TP,FP,FN,TN,F1_d,F1,balanced_acc,mcc,seg_hausdorff_(TP),seg_dice_(TP),seg_mcc_(TP),spearman,pearson,log_pearson,model,tta
neutrophil,0.19848934972762425,0.2280994973950108,49.0,118.0,121.0,87123.0,0.11912485954629659,0.29080118694362017,0.6434413595334627,0.28944306376477674,2.2211145524745857,0.8439990035035516,0.6097930772318814,0.3702594195476385,0.7302548712880785,0.5611135015044683,convnextv2_large_focal_fulldata_0,0
epithelial-cell,0.5985576400821978,0.9416553853333578,50721.0,10337.0,11669.0,34678.0,0.7023592749968379,0.8217387077959951,0.7916661276751671,0.5811256035319368,2.8793291354624615,0.8358779377617781,0.6326762813492414,0.9530896653838119,0.9712071237374205,0.9745424760925125,convnextv2_large_focal_fulldata_0,0
lymphocyte,0.6407633835530775,0.9584724520956407,14484.0,4956.0,3999.0,67839.0,0.5426267720215676,0.7638636183846215,0.8577787103143739,0.7023543072209374,1.1773891317561356,0.9166498164921486,0.7486470425753429,0.9691617271007079,0.9791282284541039,0.9537058318643415,convnextv2_large_focal_fulldata_0,0
plasma-cell,0.38198825202091585,0.59192836097803,1815.0,1510.0,2584.0,82273.0,0.2397480685967975,0.469963749352667,0.6972855110332941,0.4509625312891607,1.2169271041349912,0.9069052319449963,0.725617776667375,0.8433704950456439,0.8041635645767544,0.7589574408990782,convnextv2_large_focal_fulldata_0,0
eosinophil,0.3593344379320894,0.5029422278439243,318.0,317.0,247.0,86658.0,0.29658377560919935,0.53,0.7795935664556237,0.5276784613435226,2.06176251058851,0.830839330794365,0.5937702148287548,0.6355706160508993,0.7629990418827631,0.6460003723924295,convnextv2_large_focal_fulldata_0,0
connective-tissue-cell,0.5061384323210599,0.7358175674007262,13041.0,3358.0,7691.0,71312.0,0.5217539300105914,0.7024319301931001,0.7920281917780829,0.6384368942081591,2.0571971123954658,0.8556409881479189,0.6859112080593684,0.9026466223972996,0.9142611422325337,0.8829905150798932,convnextv2_large_focal_fulldata_0,0
mitosis,0.29372987136690515,0.0,52.0,92.0,55.0,87147.0,0.2316784869976359,0.41434262948207173,0.7424633670977773,0.41809876710621535,1.6642298660848183,0.8523969130416549,0.6444033019493021,0.4622138727346389,0.4992840512945589,0.4061103806590789,convnextv2_large_focal_fulldata_0,0
all,0.5391945421282701,0.0,87310.0,13858.0,19536.0,0.0,0.71950244170208,0.8394627284701991,-999.0,-999.0,2.345558074840242,0.8560573794691632,0.44727872220994824,0.9655668495706209,0.9711001404453445,0.9760510579495101,convnextv2_large_focal_fulldata_0,0
neutrophil,0.204493235925713,0.4054962674482302,42.8,70.2,127.2,87119.8,0.1334340279533413,0.3024908807556418,0.6254797792106739,0.3077839138517226,2.0697335945216517,0.8402779621687106,0.6164278997296104,0.3470693172869119,0.7498565825270728,0.7031926738431971,convnextv2_large_focal_fulldata_0,4
epithelial-cell,0.6046839220806303,0.9444991706238518,51024.0,10028.2,11372.0,34428.8,0.7070189485900844,0.8266463463280991,0.7960870853287215,0.5898081356205198,2.850353981204118,0.8378457959710653,0.6351264280766622,0.9548739295617606,0.9715922542582511,0.9713597557892157,convnextv2_large_focal_fulldata_0,4
lymphocyte,0.6419021844621682,0.9590420883294583,14407.4,4794.2,4071.2,68005.2,0.549939451683338,0.7647194805119494,0.8569128332399594,0.7037617097834679,1.166211776083502,0.9175186705999921,0.7481893647282891,0.9688311849470667,0.9794574553369515,0.9541737699002402,convnextv2_large_focal_fulldata_0,4
plasma-cell,0.3824564424148113,0.5531984275186403,1763.0,1370.0,2636.6,82378.6,0.22996268514845442,0.46809734598905733,0.6921798037490577,0.4520707695232343,1.206998427168869,0.9084084266889075,0.7275285722205703,0.8353525549061322,0.7882350989594691,0.74561606978784,convnextv2_large_focal_fulldata_0,4
eosinophil,0.3642509231441502,0.5261060851871201,322.8,292.0,242.2,86629.2,0.308505003947151,0.547236132789527,0.7839840052761285,0.5446760759970262,2.1208942419200616,0.8242000677920901,0.5845446521054612,0.6512211533891397,0.7749063209101712,0.6389374031402113,convnextv2_large_focal_fulldata_0,4
connective-tissue-cell,0.5133583588227306,0.7329592476870449,13073.8,3163.2,7662.8,71402.6,0.5298399079920217,0.7071962705504253,0.7940241175823223,0.6453650788431861,2.0202096435489665,0.8585379970011854,0.6892792200676932,0.9050001350505467,0.9154556580036151,0.8979093583250553,convnextv2_large_focal_fulldata_0,4
mitosis,0.2880767079008332,0.0,50.8,99.4,56.2,87119.4,0.21543889763003105,0.3950203927453799,0.7368133333669574,0.39987392164652735,1.5475276725460119,0.8671835275529431,0.6778050468254311,0.44611337111000926,0.4808414526663546,0.4523664445972626,convnextv2_large_focal_fulldata_0,4
all,0.5434163508384353,0.0,87279.8,13222.0,19573.0,0.0,0.7211321438624676,0.841840871784821,-999.0,-999.0,2.32551253851533,0.8576985039994856,0.4374135096663803,0.9645206483653868,0.9712415140593056,0.9660092888948105,convnextv2_large_focal_fulldata_0,4
