class,mpq,r2,TP,FP,FN,TN,F1_d,F1,balanced_acc,mcc,seg_hausdorff_(TP),seg_dice_(TP),seg_mcc_(TP),spearman,pearson,log_pearson,model,tta
neutrophil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,convnextv2_large_focal_fulldata_0,0
epithelial-cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,convnextv2_large_focal_fulldata_0,0
lymphocyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,convnextv2_large_focal_fulldata_0,0
plasma-cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,convnextv2_large_focal_fulldata_0,0
eosinophil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,convnextv2_large_focal_fulldata_0,0
connective-tissue-cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,convnextv2_large_focal_fulldata_0,0
mitosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,convnextv2_large_focal_fulldata_0,0
all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,convnextv2_large_focal_fulldata_0,0
neutrophil,0.006248778543589155,0.07499023815307868,1.16619037896906,3.249615361854384,1.16619037896906,73.64074958879765,0.01139710771198162,0.008066314043475872,0.003431967837162675,0.008465119639799037,0.1510339277869598,0.01132320022810384,0.013073689857972094,0.023290256111873346,0.012083312350366544,0.04276049909457555,convnextv2_large_focal_fulldata_0,4
epithelial-cell,0.00038062370311219435,0.0011707770606874256,42.74108094094018,51.58061651434578,39.95497465898333,42.88309690309225,0.00042513706674273213,0.0006834828933929745,0.000818610983087948,0.0016053563774762508,0.002277701350787354,0.00018719660973468623,0.00047972025115226597,0.001417118514390154,0.0004942226372058322,0.001901954594848426,convnextv2_large_focal_fulldata_0,4
lymphocyte,0.0013078348821487858,0.0008248357525977089,27.34666341621954,29.075075236360096,27.213232075591463,57.31457057328442,0.002423438162396608,0.00042894577513778053,0.0005938375235866504,0.0005340209060769255,0.003424266738584059,0.0006218643514429305,0.0022292520330229747,0.00024293507871015236,0.0003414301623237391,0.0016260398899511834,convnextv2_large_focal_fulldata_0,4
plasma-cell,0.001216792233314326,0.0056043290133607265,8.62554346113913,14.24078649513432,8.522910301065007,89.32099417270277,0.005592934193362654,0.0015657228573148206,0.0009441090394326617,0.001595878104633376,0.008144789435597932,0.0008131595761383236,0.001460661290536974,0.0027064376246047554,0.0033104623832571,0.01126032074760406,convnextv2_large_focal_fulldata_0,4
eosinophil,0.0027955567607666136,0.03160072398523091,4.3999999999999995,9.959919678390985,4.3999999999999995,74.61742423857848,0.009308881428207528,0.007792835596584686,0.0039059734923829895,0.007796838220244081,0.0488010064094264,0.002827045916942755,0.0042889252050115805,0.012755838395852502,0.009857376169865775,0.018273431424321904,convnextv2_large_focal_fulldata_0,4
connective-tissue-cell,0.0010733488537830501,0.0028692938616132735,25.253910588263356,21.8577217477028,24.660900226877366,52.12139675795345,0.0012871072901294678,0.0011389532038486286,0.0006903633705733718,0.0013913865351161674,0.001988777695977772,0.0004253377082210367,0.0008258935726005077,0.0016253716871951881,0.001192487849213225,0.00507632871634991,convnextv2_large_focal_fulldata_0,4
mitosis,0.014457463981158167,0.0,2.4000000000000004,3.878143885933063,2.4000000000000004,76.03578105076583,0.012804062112175663,0.017671028471961336,0.011221357865386397,0.0179728523643307,0.02099123184287229,0.0029108755891063933,0.0031121097403033022,0.017809778906980357,0.020581167479623623,0.06611977923448528,convnextv2_large_focal_fulldata_0,4
all,0.001341085317144913,0.0,74.13609107580464,34.93422390722313,70.99577452215026,0.0,0.0009490343243397501,0.0005270782587808177,-999.0,-999.0,0.0007397959646674843,0.00023534831684067568,0.002083471320916591,0.0010386399727699577,0.00042883948883399946,0.005465510709638585,convnextv2_large_focal_fulldata_0,4
