class,mpq,r2,TP,FP,FN,TN,F1,balanced_acc,mcc,seg_hausdorff_(TP),seg_dice_(TP),seg_mcc_(TP),spearman,pearson,log_pearson,model,F1_d
neutrophil,0.304389327018676,0.60190370838405,694.4,398.2,1119.0,161100.4,0.47789644586106467,0.6902310855985415,0.48904669003808604,2.3156007402981276,0.8739011955365203,0.7210192717992865,0.6093720317033745,0.7952265468947785,0.673793102146709,convnextv2_large_focal_fulldata_0,
epithelial-cell,0.8282396827519266,0.9901895642598614,98969.2,7553.8,9997.4,60369.2,0.9185519807479505,0.8985209247149746,0.7920110874982874,1.5415485580720372,0.951135018944611,0.8735179322159787,0.9932256099038007,0.995385810946439,0.9717248682266663,convnextv2_large_focal_fulldata_0,
lymphocyte,0.6773904415573634,0.8449215331023752,11802.0,2432.8,4637.0,145707.2,0.7695163878772442,0.8507522928021359,0.7483166239699051,1.1169749586829398,0.9492179675910769,0.848448511640742,0.9247509269220352,0.931557138393201,0.895665230263013,convnextv2_large_focal_fulldata_0,
plasma-cell,0.45642909895098516,0.5912697429270893,995.2,996.8,829.0,160133.0,0.5215621668443269,0.7696839712335712,0.5164173879724565,1.2056685850993376,0.9456210487586612,0.8349322679523394,0.6257666522753922,0.8085196790217386,0.6935207094064983,convnextv2_large_focal_fulldata_0,
eosinophil,0.4314122624916591,0.5348124116509057,759.6,248.4,808.8,161398.0,0.5896583602961499,0.7413891385904774,0.6011688912539865,2.2780457291399867,0.8787320533086117,0.7210738770627831,0.6730925187940298,0.7662196411305068,0.6725464495990504,convnextv2_large_focal_fulldata_0,
connective-tissue-cell,0.7326884600728485,0.9700061010144696,39975.2,6732.4,5370.4,116938.6,0.8685238536189654,0.9135647033124373,0.8195058017546822,1.5393123269175852,0.9307480375930007,0.8375855349626506,0.9747970258838679,0.985940158547591,0.949988132583111,convnextv2_large_focal_fulldata_0,
mitosis,0.5169490506439142,0.35394520076974867,390.6,301.8,183.4,162157.8,0.6168744476176313,0.8393150585721418,0.618129950920582,1.6310494797964203,0.9206706559555794,0.8071146613498037,0.6652900281839529,0.6523104695422525,0.4606895902746773,convnextv2_large_focal_fulldata_0,
all,0.7439055994099804,0.0,162843.6,9406.8,13687.6,0.0,0.9337854864032403,-999.0,-999.0,1.5205431168467118,0.9426210370692184,0.6090767915595793,0.9912389616154593,0.9938488496028208,0.9818560207276101,convnextv2_large_focal_fulldata_0,
neutrophil,0.27053780271052175,0.4615422897457293,579.4,271.2,1230.0,161572.8,0.43563756376267787,0.6592706058570192,0.46322225605636075,2.242136848425484,0.8688347439611259,0.7103871568922565,0.5779132632403063,0.7162454218691211,0.6027028998684799,convnextv2_base_focal_fulldata_0,0.21510197977174045
epithelial-cell,0.8256915842969764,0.9895825916830432,98877.0,7533.4,10084.2,60642.6,0.9181990851454535,0.8984763893168795,0.7917720626765298,1.5361202539777046,0.9504703193984054,0.8707791192530496,0.9923775444563127,0.9950747608599443,0.9730345417502763,convnextv2_base_focal_fulldata_0,0.785932368753143
