class,mpq,r2,TP,FP,FN,TN,F1,balanced_acc,mcc,seg_hausdorff_(TP),seg_dice_(TP),seg_mcc_(TP),spearman,pearson,log_pearson,model,F1_d
neutrophil,0.003286592743138282,0.010031322412337649,8.35703296631047,2.039607805437114,8.648699324175862,57.0634734309085,0.00453555069220221,0.002334904678238528,0.0042680065489545,0.011025424041860448,0.0006140223782657229,0.0008507271929177176,0.006584224459056421,0.0068826617546925,0.010295909007609646,convnextv2_large_focal_fulldata_0,
epithelial-cell,0.00010849833990528063,0.0001067150976354672,47.47799490290212,47.99749993489244,46.59012770963394,17.93766985982293,0.00041116823492336424,0.0004946754804628409,0.0009691474574604559,0.001783787050153478,4.9400629543417716e-05,6.165770739460577e-05,8.640062519957066e-05,6.536233892618459e-05,0.0008295046879294542,convnextv2_large_focal_fulldata_0,
lymphocyte,0.000552775040381625,0.001686096541443281,18.110770276274835,14.204224723651764,18.15488914865635,59.131717377394004,0.0008214381514487732,0.0005522343840395043,0.0008705297007834063,0.003082094290190409,0.00021933456237349598,0.00042390584038629113,0.0007706102585195681,0.0008152497507963681,0.0014815035148895161,convnextv2_large_focal_fulldata_0,
plasma-cell,0.0034108106197057444,0.003536504745591271,8.23164625090267,6.968500556073739,8.246211251235321,56.586217403180434,0.003648978848272065,0.0022661335734642483,0.0037140941612393893,0.005775646166978761,0.0004940622386106042,0.0008888427698920079,0.0009738504595294218,0.0035020129880267725,0.007387923354037043,convnextv2_large_focal_fulldata_0,
eosinophil,0.001549021249515143,0.006644875869194164,3.6110940170535577,4.498888751680798,3.4292856398964493,57.94134965635509,0.001841153268226887,0.0011161483034978614,0.0018086260921159603,0.010490771660188592,0.0007708407748795219,0.0014390662985816257,0.0031986931742341287,0.006816073602574701,0.011394275159482955,convnextv2_large_focal_fulldata_0,
connective-tissue-cell,0.00026338270486528907,0.0003384372568393103,17.679366504487653,22.123290894439734,18.5321342537766,40.7264042115186,0.00020138395657918367,0.00016992723167688932,0.0002706277357234099,0.0016527238017605824,0.00011638331655763762,0.00023224316006542563,0.0003515633143782877,9.279638723660466e-05,0.0010263983644544753,convnextv2_large_focal_fulldata_0,
mitosis,0.002352197919015585,0.010501067179640068,2.244994432064365,6.49307323229917,2.244994432064365,55.96570378365664,0.0026379051880314384,0.001944027718567736,0.0025195140808455464,0.030301107266083788,0.001911806335779842,0.002352731020466962,0.00503269260966581,0.0038205201984236564,0.014645147666018724,convnextv2_large_focal_fulldata_0,
all,0.0002223215798119757,0.0,57.1930065654884,47.32610273411492,55.86626889277643,0.0,0.00027501175209059464,-999.0,-999.0,0.0014327123862466439,4.803331764651799e-05,0.0019348413369068844,9.992925242492764e-05,7.133664859936669e-05,0.00030641251877579337,convnextv2_large_focal_fulldata_0,
neutrophil,0.0006689041082923677,0.004072671562775079,2.4979991993593593,3.867815921162743,2.8284271247461903,48.77868386908363,0.0011830506256108476,0.0007099531383617894,0.0010227662714368724,0.026099105328298122,0.0017182193506876837,0.0022448965788044706,0.0059737333049756335,0.002866575995171165,0.005880184790025675,convnextv2_base_focal_fulldata_0,0.0021243873545877486
epithelial-cell,0.00019318977801488567,0.0001669203827665729,42.881231325604446,57.68396657651067,41.1018247770096,19.49974358805777,0.00044970964425179494,0.0005622532401929705,0.0010736887848966034,0.0014291555138496131,7.384481993022496e-05,0.00013308244607431312,0.00014093055444638826,6.602928000260895e-05,0.0007743083368056248,convnextv2_base_focal_fulldata_0,0.0008016993432107386
lymphocyte,0.0006217359669412949,0.0021877765616681393,24.73054791143941,19.6,24.883729623993265,38.70710529088942,0.0006462765291153341,0.0007021151716515406,0.0006126088175912043,0.002097323810097543,0.00015904959631320625,0.0005039144994862331,0.0009490791164621568,0.0009738264020451904,0.0011571616659675254,convnextv2_base_focal_fulldata_0,0.0010887830535582037
plasma-cell,0.002370955819253098,0.017023850445853268,2.9933259094191533,12.915107432770352,2.9933259094191533,45.62192455388089,0.00238413294705922,0.0008370510691432919,0.002346962386080814,0.007902582749533132,0.0003215591685553946,0.0007251233545587036,0.00561707428577834,0.005885931583172991,0.0032626172203316203,convnextv2_base_focal_fulldata_0,0.0022832214106812427
eosinophil,0.0027421472241099852,0.003924016634590625,3.8262252939417984,5.844655678480984,4.317406628984581,48.15391988197846,0.003179983703669382,0.001295613357536314,0.0033882095772784482,0.038640519340376434,0.0020343836914587395,0.0024071313089922574,0.004157434752872488,0.004573505275821962,0.012772395233310401,convnextv2_base_focal_fulldata_0,0.0046381308394430965
connective-tissue-cell,0.000506847191958009,0.0003620372247906672,12.743625857659193,33.36225412048773,15.793669617919706,60.491321691627796,0.000220652164967374,0.00011403240460046942,0.00030512979096067474,0.003982146464230912,0.00015324787005614173,0.0002868199098866541,0.00028852123314439997,0.0001008997649524151,0.0010492131586109408,convnextv2_base_focal_fulldata_0,0.0015096060918195937
mitosis,0.003041280288941739,0.0047218126791100665,1.8547236990991407,3.7735924528226414,1.8547236990991407,44.40450427603037,0.003297145700093195,0.0016252420419219924,0.003260356420281093,0.01957762298183518,0.0015874818179894637,0.0019716486055284393,0.003834261919219572,0.003907525567188185,0.013577458807381466,convnextv2_base_focal_fulldata_0,0.0035622983190202275
all,0.00030125714153538474,0.0,45.19557500463956,56.247311046840274,43.27308632394967,0.0,0.0002507946342277434,-999.0,-999.0,0.0015447108739749767,7.405860295298947e-05,0.0016532230093596963,0.00015157819642781686,7.391454660086351e-05,0.0015263596608337234,convnextv2_base_focal_fulldata_0,0.00041242095698077656
neutrophil,0.0024150534970284335,0.008112879768737853,8.270429251254134,2.4,8.255906976220118,87.8439525522389,0.0040245993712705146,0.0022803101093879304,0.003779442829276665,0.037457675690788055,0.0026109154717591167,0.00318045730759608,0.004186611034117875,0.0029256879627021838,0.009555921198672586,convnextv2_tiny_focal_fulldata_0,0.0038688471205530115
epithelial-cell,0.00021587809891237555,0.00014477506327448158,79.16211214968939,61.85596171752566,79.25805952709163,12.286578042726134,0.0006495818526618204,0.00075253467255102,0.0015282917476797469,0.0018341018923302339,9.359646031746515e-05,0.00014392880274793012,7.812767866713136e-05,6.967776184481048e-05,0.000977200423463298,convnextv2_tiny_focal_fulldata_0,0.0006306495241109821
lymphocyte,0.0002886894298912445,0.0007331920871028974,9.666436778875656,12.33531515608742,8.318653737234168,81.3525660320558,0.00020546993830769457,0.00023229959992032326,0.00022164460539964899,0.0020985653904241116,0.00018007273131302547,0.0004886775899983743,0.0018907547332362204,0.00045973429710840754,0.0020502514822467958,convnextv2_tiny_focal_fulldata_0,0.0010480790178749467
plasma-cell,0.001362216157439357,0.013454875356825817,3.7416573867739413,12.467557900406959,3.7416573867739413,92.81508498083704,0.001993810013847653,0.0010114505034677865,0.0020682323965758326,0.008958504934233207,0.0008520760917836687,0.00119334058067191,0.005183729742873799,0.008666939589630194,0.00429302346613571,convnextv2_tiny_focal_fulldata_0,0.0022410990623808716
eosinophil,0.001576679950486827,0.009725277360856653,5.403702434442518,4.995998398718719,5.4626001134990645,87.01953803600661,0.0030857161332629363,0.0017282781251599965,0.002983618580362032,0.019462613191389002,0.001701848528019094,0.002158206325269388,0.003709561539297829,0.004666716725791563,0.006918888073833205,convnextv2_tiny_focal_fulldata_0,0.0025674600623140594
connective-tissue-cell,0.000186265852011182,0.00038906630004746195,8.49470423263812,21.84856974723975,7.467261881037788,90.73345579222695,0.0002731614227779168,0.00017107936392151663,0.00040412867542136794,0.00266147353529542,0.00013730523698019534,0.00017655004031490385,0.0003946414635001905,0.00010492225852963498,0.0007145356774099772,convnextv2_tiny_focal_fulldata_0,0.002213965478875505
